,post_url,query,tags,count
3965979117.0,https://www.instagram.com/p/B_kCcoGFh6y/,#бессмертныйполконлайн,"['чулпановскаясош', 'нурлатвоспитательнаяработа', 'миноброзованиярт', '100тасср', '75летвов', 'бессмертныйполконлайн', 'бессмертныйполктатарстан', 'памятигероев2020', 'волонтерыпобедытатарстана', 'волонтерыпобедынурлата', 'волонтерыпобедычулпаново', 'chulpanovskaiasosh', 'героивеликойпобеды', 'памятигероев2020']",298
9196363411.0,https://www.instagram.com/p/B-Er38Kph8G/,#деньпобеды2020,"['дхш4', 'дхш4саранск', 'любимаяхудожка', 'деньпобеды', 'деньпобеды2020', 'годпамятииславы2020', 'саранск13рм']",296
7563819212.0,https://www.instagram.com/p/B_u2kfjJ-La/,#бессмертныйполккитай,['бессмертныйполккитай'],296
5544690463.0,https://www.instagram.com/p/B_sihQiCuez/,#наследникипобеды,"['учимсядома', 'победа75', 'республикакалмыкия', 'яшалтинскийрайон', 'мывсеравноскажемспасибо', 'литературапобеды', 'наследникипобеды', 'мывсеравноскажемспасибо', 'литературапобеды', 'наследникипобеды']",296
21969974318.0,https://www.instagram.com/p/B_w33e_jXxG/,#деньпобеды2020,"['солдатскийплатокпамяти2020dzr', 'бессмертныйполк2020dzr', 'мыпомним', 'мыгордимся', 'деньпобеды2020', 'regrann']",290
7430656444.0,https://www.instagram.com/p/CACgwXVhwuP/,#деньпобеды,"['великаяпобеда', 'связьпоколений', 'липецкаяобласть', 'становлянскийрайон', 'памятьнарода', 'патриот48', 'патриотцентр48', 'бессмертныйполк', 'деньпобеды', '9мая']",283
34154723477.0,https://www.instagram.com/p/B_mFcNZImXT/,#бесмертныйполконлайн,"['бесмертныйполконлайн', 'бесмертныйполктатарстана', 'славасолдату']",281
33304997075.0,https://www.instagram.com/p/CADBf31KkR1/,#бессмертныйполк,"['урокмужествадистант', 'школаn111', 'музейслужуотечеству', 'бессмертныйполк', 'конкурсрисунков']",280
6988278461.0,https://www.instagram.com/p/CAAHAFkA-cC/,#бесмертныйполконлайн,"['бесмертныйполконлайн', 'бесмертныйполктатарстан', 'нетолько9мая']",278
5546676115.0,https://www.instagram.com/p/B_kFXISl2QG/,#бессмертныйполконлайн,"['75летпобеды', 'деньпобеды', 'победа', 'бессмертныйполконлайн', 'школьникипомнят', 'рдш', 'рдшкбр', 'рдшнальчик', 'рдш25школа']",278
16086213218.0,https://www.instagram.com/p/CAId8WtpOyu/,#бессмертныйполк,"['сталинград', 'волгоград', 'сталинградскаябитва', 'советветерановвгтз', 'великаяпобеда', '9мая', 'спасибодедузапобеду', 'чтобыпомнили', 'никтонезабытничтонезабыто', 'бессмертныйполк']",274
8953556672.0,https://www.instagram.com/p/BrvDH7onO2v/,#гордостьроссии,"['спортжелезноводск', 'спортивныйжелезноводск', 'курортныйжелезноводск', 'наполняйтесьжелезноводском', 'наполняйтесь', 'спортом', 'городкурорт', 'ставропольскийкрай', 'железноводск', 'спортсмены', 'чемпионы', 'нашагордость', 'гордостьроссии']",273
31482491945.0,https://www.instagram.com/p/B_sBgtBA3kl/,#наследникипобеды,"['рдш', 'деньпобеды', 'садпамятидома', 'детивойны', 'окна_победы', 'мывсеравноскажемспасибо', 'наследникипобеды']",268
6067019804.0,https://www.instagram.com/p/BaXQpfmHMxx/,#бессмертный,,267
7185768054.0,https://www.instagram.com/p/By7dB4MHI9C/,#бесмертныйполк,"['уроди', 'jalalabad', 'мафия', 'беспридел', 'хулиганы2018', 'гиопика', 'тюрьма', 'ганджа', 'вор', 'гангстеры', 'хулиганы', 'братзабрата', 'блатной', 'бандит', 'бандиты', 'criminal', 'наркотики', 'chyorni_delfin', 'ворывзаконе', 'armcriminal', 'волки', 'базарунет', 'марихуана', 'скемтытам', 'криминал', 'бесмертныйполк', 'ауе', 'ауежизньворам']",262
4144230081.0,https://www.instagram.com/p/B_4klkPFKsc/,#деньпобеды2020,"['победа75', '9мая', 'деньпобеды', '75летпобеды', 'деньпобеды2020', 'спасибозапобеду', 'мывместе', '75летиепобеды', 'домаспользои', 'стихиовои', 'юнармияпомнит', 'георгиевскаяленточка', 'день_победы', 'помнимгордимся', 'дети', 'танцы', 'творческаямастерскаяаидысадеевои', 'открыткипобеды', 'мыпомниммыгордимся']",261
23178425728.0,https://www.instagram.com/p/B_iX9AvHLD4/,#бессмертныйполконлайн,"['великиестихивеликойпобеды', 'рдш', 'рдшнальчик', 'рдшкбр', 'стихипобедысрдшрдш', 'стихипобедырдш', 'стихивойны', 'стихипобеды', 'стенагероев', 'стенапамяти', 'бессмертныйполконлайн', 'минпросвещениярф', 'минпросвещениякбр']",260
32278197235.0,https://www.instagram.com/p/B_8LVPsgm3B/,#окнапобеды,['окнапобеды'],260
1968207551.0,https://www.instagram.com/p/B_j4bI0AFhH/,#бессмертныйполконлайн,"['repost', 'бессмертныйполк2020', 'бессмертныйполконлайн', 'нашигерои']",258
7366708828.0,https://www.instagram.com/p/CAC_JqRj_HM/,#деньпобеды,"['деньпобеды', 'ноябрьск', 'сургут', 'ишим', 'когалым', 'тобольск', 'нижневартовск', 'хантымансии', 'уренгои', 'тюмень', 'нягань', 'мегион', 'лангепас', 'пытьях', 'ураи', 'лянтор', 'югорск', 'заводоуковск', 'белоярскии', 'излучинск', 'покачи', 'междуреченскии', 'салехард', 'надым', 'муравленко', 'лабытнанги', 'мужи', 'ямбург', 'таркосале', 'ялуторовск']",255
3234868277.0,https://www.instagram.com/p/B_6cXkPgzbu/,#наследникипобеды,"['biblioteka_iraf', 'бессмертныи', 'мои', 'бессмертныи', 'имена', 'рдш', 'наследникипобеды', 'стихиовойне']",254
34130423663.0,https://www.instagram.com/p/B_k60rJJNRc/,#бесмертныйполконлайн,"['бессмертныйполктатарстан', 'бесмертныйполконлайн', 'алькеевскаяцбс', '75летпобеды', 'япобеда', 'алькеевскийрайон', 'базарныематаки']",253
1486639952.0,https://www.instagram.com/p/BFb_CoiTWaN/,#immortalregiment,"['veterans', 'победа', 'novosibirsk', 'вов', 'this_in_novosibirsk', 'деньпобеды', 'nsk_novosibirsk', 'patriot', '9may', 'сибирь54', 'nsk_life', 'celebration', 'новосибирск', 'russia', 'memory', '9мая', 'nskgram', 'память', 'бессмертныйполк', 'патриот', 'nsk', 'праздник', 'портретветерана', 'victoryday', 'siberia', 'tipich_nsk', 'ветераны', 'immortalregiment']",250
4217833857.0,https://www.instagram.com/p/B_U-GFhATAY/,#деньпобеды2020,"['музыка_победы', 'песни_военных_лет', 'деньпобеды2020', '9мая', 'сидимдома', 'мкоусош16']",247
8741496183.0,https://www.instagram.com/p/B_fsDROF29S/,#наследникипобеды,"['сднемвеликойпобеды', 'читаемовойне', 'дистанционноеобучение', 'сидимдома', 'мывсеравноскажемспасибо', 'наследникипобеды', 'литературапобеды', 'четверка', 'четверкалучшая', 'первоклашка']",243
4174273407.0,https://www.instagram.com/p/B_jaIf3oKse/,#бессмертныйполконлайн,"['75летпобеды', 'деньпобеды', 'победа', 'бессмертныйполконлайн', 'школьникипомнят', 'рдш', 'рдшкбр', 'рдшнальчик', 'рдш20школа', 'regrann']",237
6237495808.0,https://www.instagram.com/p/Bn60PXOnTBC/,#шествие,"['mountains', 'hike', 'tourism', 'love', 'photography', 'beautiful', 'fun', 'guide', 'travel', 'sand', 'colorful', 'tour', 'adventure', 'roadtri', '旅行', 'viaje', 'world', 'voyage', 'high', 'reisen', '여행', 'سفر', 'viagem', 'traveling', 'шествие', 'traveling']",236
3471600407.0,https://www.instagram.com/p/BH6jsMkBEdG/,#наследникипобеды,"['любляна2016', 'ягражданинподмосковья', 'наследникипобеды']",235
26181074173.0,https://www.instagram.com/p/B_73KinIkVL/,#бесмертныйполк,"['победавнас61', 'красносулинскийрайон', 'бесмертныйполк', 'победавнас61', 'красносулинскийрайон']",231
3173179690.0,https://www.instagram.com/p/Bi42DbBhUuY/,#спасибодедузапобеду,"['япомнюягоржусь', 'спасибодедузапобеду', 'герой', 'вечнаяпамять', 'бессмертныйполк']",228
4532672853.0,https://www.instagram.com/p/Bw6lpQgHjX9/,#бессмертныйполк,"['армия', 'оружие', 'бизнес', 'война', 'история', 'берлин', 'победа', 'штурм', 'лондон', 'фронт', '9мая', 'курск', 'ленинград', 'ссср', 'штурм', 'москва', 'ростов', 'политика', 'герои', 'сша', 'хайп', 'звезда', 'снаряжение', 'взрыв', 'рейхстаг', 'пулемет', 'договор', 'бессмертныйполк']",226
295476289.0,https://www.instagram.com/p/CADcI1kCy4a/,#памятьнарода,"['памятьнарода', 'спасибовам', '9мая']",225
19380132978.0,https://www.instagram.com/p/CADqicvhZu3/,#спасибодедузапобеду,"['дневникмоегодедушки', 'дневникмоегодеда', 'дневникветерана', 'дневникдедаолега', 'дедушкаолег', 'дневникдеда', 'жизньветерана', 'спасибодедузапобеду', 'спасибодеду', 'жизньпенсионеров', 'жизньпенсионера', 'простаяжизнь', 'простожизнь', 'девяностые', 'год1998']",225
3412241830.0,https://www.instagram.com/p/B_zw6Rvp6mb/,#бессмертныйполк,"['бессмертныйполк', 'бессмертныйполкякутия']",223
3140569297.0,https://www.instagram.com/p/BGyJWrzwypA/,#гордостьроссии,"['полинагагарина', 'гагара', 'гагаринапоехали', 'полина', 'лучшаяпевица', 'любимоченьсильно', 'гагаринцысила', 'гагаринцысемья', 'нашагордость', 'нашакоролева', 'гордостьроссии', 'gagarinatur', 'gagara1987', 'polinagagarina', 'lovegagarina']",221
34872480074.0,https://www.instagram.com/p/B_9wEskJwWu/,#помнимгордимся,"['ykt_sakha', 'республикасаха', 'республикасахаякутия', 'якутия', 'память', 'помнимгордимся', 'бессмертныи', 'бессмертныи', 'бессмертныи', 'бессмертныи', 'домалучше', 'сидимдома', 'деньпобеды', '9мая', 'сэрии', 'сахасирэ', 'улуукыаи', 'бессмертныи']",219
1057083514.0,https://www.instagram.com/p/B__DFWCgGDk/,#деньпобеды,"['муфтиятрд', 'поздравление', 'деньпобеды', '9мая', 'вов', 'ветераны']",219
7021110407.0,https://www.instagram.com/p/BgZfz7rAyNV/,#спасибодедузапобеду,"['великаявойна', 'вов', 'историявов', 'историявтороймировой', 'подвигнарода', 'онисражалисьзародину', 'защитник', 'защитники', 'защитникиродины', 'ссср', 'слава', 'честь', 'военнослужащие', 'нашаистория', 'краснаяармия', '19411945', 'священнаявойна', 'победазанами', 'победабудетзанами', 'люблюродину', 'спасибодеду', 'спасибодедузапобеду', 'спраздником', 'гордость', 'бронетехника', 'великийрусскийнарод', 'славароссии', 'отечество', 'смелость', 'отвага']",217
33209091802.0,https://www.instagram.com/p/B_WXHLmDEVx/,#спасибодедузапобеду,"['мойбессмертныйполкбелово', '75летпобеды', 'годпамятииславы', 'вов', 'спасибодедузапобеду', 'спасибзапобеду', '9мая1945', 'мыпобедили', 'спасибовам', 'великая', 'поинимгордимся', 'никогданезабуду', 'япомнюягоржусь']",216
7123414094.0,https://www.instagram.com/p/CAFLxEtI4ha/,#бессмертныйполк,"['цдо', 'кошехабльскийрайон', 'бессмертныйполк01', 'бессмертныйполк', 'бессмертныйполконлайн01', 'бессмертныйполконлайн', 'знатьчтобыпомнить', 'годпамятииславы', 'волонтерыпобеды', 'волонтерыпобеды01', 'мывместе', 'мывместе01', 'республикаадыгея']",215
11523441053.0,https://www.instagram.com/p/B_nkVsohY8e/,#бесмертныйполк,"['chyorni_delfin', 'armcriminal', 'кабан', 'criminal', 'криминал', 'гангстеры', 'бандит', 'бандиты', 'ауе', 'ауежизньворам', 'скемтытам', 'хулиганы2', 'хулиганы', 'блатной', 'ворывзаконе', 'вор', 'ганджа', 'марихуана', 'мафия', 'братзабрата', 'тюрьма', 'базарунет', 'наркотики', 'уроди', 'гиопика', 'волки', 'беспридел', 'бесмертныйполк', 'кабан']",213
9235528026.0,https://www.instagram.com/p/B_vOkP8CI19/,#наследникипобеды,"['рдш', 'мыпомним08', 'рдш08', 'мывсеравноскажемспасибо', 'литературапобеды', 'наследникипобеды']",212
